id,Zone,OS_x,OS_y,GPS_lat,GPS_long,w3w,comment,yes?
1,B,543065.236,263949.626,52.255136,0.094562,                                                            ,                                                            ,
2,A,543046.256,263956.665,52.255204,0.094287,                                                            ,                                                            ,
3,C,543174.985,263880.931,52.25449,0.096139,                                                            ,                                                            ,
4,B,543105.453,263948.873,52.255119,0.09515,                                                            ,                                                            ,
5,C,543198.331,263887.837,52.254546,0.096484,                                                            ,                                                            ,
6,B,543102.455,263931.641,52.254965,0.095099,                                                            ,                                                            ,
7,B,543086.124,263928.219,52.254938,0.094859,                                                            ,                                                            ,
8,B,543122.388,263908.727,52.254754,0.095381,                                                            ,                                                            ,
9,A,543017.123,264004.157,52.255639,0.09388,                                                            ,                                                            ,
10,A,543028.051,263953.445,52.25518,0.094019,                                                            ,                                                            ,
11,C,543164.722,263908.847,52.254744,0.096001,                                                            ,                                                            ,
12,A,543027.486,263973.61,52.255361,0.094019,                                                            ,                                                            ,
13,B,543078.395,263955.673,52.255187,0.094757,                                                            ,                                                            ,
14,B,543125.771,263926.929,52.254917,0.095438,                                                            ,                                                            ,
15,C,543160.898,263879.489,52.254481,0.095933,                                                            ,                                                            ,
16,A,543041.43,263941.754,52.255072,0.09421,                                                            ,                                                            ,
